Parent,Child,Origin_time
1269,687244,30
687647,762398,30
168581,763706,30
490561,765881,30
393620,769102,30
834194,784150,30
584478,816796,30
86767,855189,30
869155,885074,30
201916,895158,30
907057,902219,30
160538,904074,30
100553,915091,30
334308,996612,30
1269,1270,31
86767,86769,31
90577,90575,31
158032,158033,31
204139,204140,31
210060,210059,31
210060,210061,31
217559,217557,31
268505,268504,31
290872,290869,31
290867,290871,31
298596,298595,31
350138,350136,31
354029,354028,31
364538,364539,31
397610,397612,31
414509,414506,31
435436,435434,31
503973,503975,31
556259,556258,31
605706,605704,31
614100,614101,31
615046,615045,31
640382,640381,31
720334,720333,31
750877,750876,31
802762,802764,31
807468,807466,31
869155,869157,31
895243,895244,31
985076,985080,31
36467,103377,31
772573,253828,31
331923,259494,31
640382,319325,31
414509,349042,31
930350,477628,31
116729,505530,31
984998,616925,31
414509,923022,31
123154,8548,31
723606,11996,31
654078,18231,31
528311,34881,31
258297,94716,31
528311,133621,31
349049,182189,31
40390,196003,31
460202,222678,31
461267,249961,31
44131,277011,31
367316,307354,31
204139,323037,31
348190,331556,31
210060,334784,31
644814,340562,31
966633,351867,31
555823,405934,31
618714,428845,31
895243,432633,31
109959,456372,31
992157,458488,31
605706,482500,31
555823,526353,31
435436,532425,31
653893,553765,31
393620,569584,31
807468,600022,31
729466,610983,31
334235,687547,31
348190,689102,31
435436,693131,31
991,695399,31
191680,740449,31
469454,763689,31
490561,772610,31
605706,800189,31
66294,806011,31
384814,817375,31
967088,832738,31
107681,875328,31
40390,886641,31
682564,901979,31
171732,903514,31
362510,941478,31
952265,943728,31
290867,992681,31
215123,4324,31
46534,9330,31
769131,23329,31
36467,158469,31
364538,160865,31
794058,192423,31
215122,252089,31
772573,270669,31
952266,296527,31
334235,339041,31
204139,356489,31
697374,357281,31
734561,403040,31
397610,426353,31
199579,429756,31
886040,437877,31
619484,442045,31
302391,465283,31
164122,466327,31
290867,475157,31
334235,490255,31
630520,516167,31
199473,549338,31
543162,615424,31
60199,626989,31
50959,647326,31
541190,679894,31
454972,692170,31
619484,694617,31
952266,721844,31
338313,753778,31
432396,758093,31
351073,776285,31
469454,779956,31
158032,787098,31
179977,798981,31
765362,840125,31
869155,857370,31
457891,884665,31
490561,923174,31
36467,925826,31
158032,988384,31
86767,998405,31
5616,5617,32
8814,8813,32
59255,59257,32
114843,114847,32
131459,131455,32
187443,187441,32
187443,187442,32
187443,187444,32
187443,187445,32
201916,201918,32
272371,272374,32
338267,338268,32
361888,361891,32
372356,372354,32
414509,414505,32
437424,437422,32
461267,461269,32
503973,503971,32
555823,555822,32
586876,586875,32
618714,618713,32
635598,635596,32
682564,682566,32
728035,728037,32
731802,731803,32
787949,787948,32
794058,794060,32
802762,802765,32
830633,830631,32
891769,891770,32
916134,916135,32
924576,924579,32
983180,983179,32
985076,985078,32
8760,49974,32
640382,173929,32
667475,229229,32
984998,252794,32
116729,309219,32
8760,388583,32
116729,439208,32
131459,556437,32
131459,580945,32
101982,662176,32
36467,728291,32
36467,739712,32
734561,836873,32
730713,916018,32
210060,15242,32
273264,27835,32
492034,29375,32
539027,49234,32
66294,56523,32
5616,92231,32
895243,101591,32
100553,124235,32
69321,195234,32
924576,215337,32
992157,243832,32
454059,251531,32
895243,254422,32
313369,260447,32
457412,267710,32
605706,269523,32
404167,286033,32
354029,300774,32
134106,305982,32
153108,309350,32
384814,315269,32
47537,322134,32
50959,322318,32
654078,337962,32
682775,353501,32
210060,378194,32
768409,407843,32
8814,449185,32
341853,452073,32
978112,490725,32
47537,508571,32
362510,522442,32
393620,527842,32
69321,536867,32
272371,539057,32
469454,539496,32
217559,543103,32
457412,550193,32
205080,553733,32
682564,567807,32
675574,577634,32
204142,578016,32
883771,600924,32
992157,615406,32
712395,623233,32
601501,700039,32
86767,720324,32
566698,725125,32
605706,733542,32
334235,742788,32
107681,785626,32
992157,825629,32
5616,834923,32
469454,838721,32
653893,853955,32
469454,886936,32
869158,891097,32
869155,891692,32
362510,896579,32
331754,902164,32
849426,923351,32
802762,936164,32
47537,942997,32
697374,943790,32
435436,948956,32
522323,950631,32
302390,962420,32
47537,962862,32
86767,963240,32
794058,975917,32
723606,977619,32
158032,982322,32
362510,2303,32
731801,2770,32
869155,11159,32
414509,45611,32
687649,54775,32
605706,79187,32
317147,97713,32
992157,101592,32
457412,103612,32
830633,140472,32
768409,146437,32
187443,147864,32
134106,192360,32
276241,200757,32
351073,250872,32
966633,253751,32
354029,285047,32
338267,290918,32
491353,331570,32
605706,337493,32
601065,343810,32
728035,346509,32
116729,365014,32
179977,390994,32
802762,392930,32
210060,414665,32
460468,465832,32
666651,468167,32
187443,485811,32
210060,487932,32
978112,489503,32
679079,530375,32
334235,542246,32
350137,562562,32
619484,562900,32
768409,596397,32
187443,607931,32
27115,623288,32
217559,645153,32
348192,660159,32
967088,675733,32
728035,686291,32
187443,695617,32
869158,761726,32
20388,765084,32
343235,786284,32
47537,803932,32
475094,822010,32
114069,823982,32
731802,836274,32
834194,837551,32
362510,842071,32
331754,891117,32
991,992,33
25985,25984,33
107683,107681,33
114843,114846,33
129441,129440,33
131459,131458,33
134106,134107,33
138338,138339,33
138338,138340,33
138826,138825,33
138826,138827,33
162101,162098,33
187443,187446,33
205080,205081,33
272371,272373,33
365397,365394,33
395188,395186,33
424939,424940,33
489617,489619,33
492034,492033,33
587910,587913,33
605706,605705,33
626192,626193,33
697374,697372,33
744926,744927,33
758141,758138,33
768409,768410,33
809490,809492,33
834196,834193,33
895243,895242,33
905806,905805,33
910165,910168,33
910165,910169,33
910165,910170,33
919909,919908,33
924576,924580,33
933779,933778,33
988809,988808,33
996829,996830,33
998810,998812,33
36467,201819,33
414509,213505,33
36467,504848,33
910165,628975,33
36467,761110,33
100553,13456,33
205080,24365,33
280653,29490,33
354029,34706,33
280653,41061,33
457412,47885,33
317147,48716,33
998810,52062,33
992157,61617,33
723606,71703,33
122762,83872,33
962711,89611,33
187443,96933,33
920033,117477,33
187443,140034,33
267249,144670,33
142579,151941,33
187443,158730,33
164119,182868,33
556259,236353,33
204139,237896,33
258298,264689,33
210060,266198,33
395188,266831,33
811230,277699,33
907441,277883,33
205082,328938,33
618714,330205,33
86767,339765,33
68905,353648,33
276241,367208,33
100706,389324,33
603868,401012,33
503975,404568,33
419410,447718,33
776285,457541,33
100553,460220,33
750179,467906,33
537337,475916,33
924576,476000,33
349049,500745,33
490561,524324,33
905806,529304,33
992157,565110,33
210060,574520,33
419410,606573,33
47537,611989,33
744926,613208,33
276239,615026,33
566698,639446,33
555823,644806,33
555823,647137,33
683282,650844,33
205080,651834,33
955887,653850,33
682564,659639,33
204139,706963,33
857370,723917,33
5616,724915,33
101980,751942,33
362476,759626,33
191680,768980,33
605706,784136,33
116727,794964,33
661829,814159,33
138338,836124,33
33509,843509,33
372356,860193,33
176387,876741,33
331754,884251,33
644406,888114,33
768409,888738,33
978112,899426,33
280653,900004,33
187443,912578,33
25985,928952,33
187443,932224,33
834196,944255,33
618714,947592,33
176387,950448,33
205080,957685,33
919909,959027,33
393620,961429,33
187443,969096,33
370766,970285,33
25985,971925,33
187443,973411,33
697374,995899,33
543162,60871,33
586876,105707,33
772573,121285,33
339027,132638,33
701732,141235,33
898301,143264,33
895243,143890,33
853549,144543,33
910165,192068,33
68905,217375,33
548904,226693,33
644406,237439,33
646777,244746,33
